BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,ProbRegisterClean,ProbRegisterHit,ProbMSBIntact,ProbMSBLost,Log10TrialCount
3,87,0.3398437500,0.0898437500,4.221825253375e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.221825253375e-05,4.221825253375e-05,0.000000000000e+00,2.1072
3,89,0.3476562500,0.0976562500,4.287791272959e-05,1.500000000000e-04,20000,20516,0.000000000000e+00,4.287791272959e-05,4.287791272959e-05,0.000000000000e+00,2.1139
3,90,0.3515625000,0.1015625000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,92,0.3593750000,0.1093750000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,94,0.3671875000,0.1171875000,2.680859035893e-03,2.700000000000e-03,20000,20516,0.000000000000e+00,2.680859035893e-03,2.680859035893e-03,0.000000000000e+00,3.9100
3,96,0.3750000000,0.1250000000,5.488372829388e-03,5.600000000000e-03,20000,20516,0.000000000000e+00,5.488372829388e-03,5.488372829388e-03,0.000000000000e+00,4.2212
3,97,0.3789062500,0.1289062500,4.221825253375e-05,1.500000000000e-04,20000,20516,0.000000000000e+00,4.221825253375e-05,4.221825253375e-05,0.000000000000e+00,2.1072
3,98,0.3828125000,0.1328125000,2.765625371059e-03,2.750000000000e-03,20000,20516,0.000000000000e+00,2.765625371059e-03,2.765625371059e-03,0.000000000000e+00,3.9235
3,99,0.3867187500,0.1367187500,8.509616526335e-05,5.000000000000e-05,20000,20516,0.000000000000e+00,8.509616526335e-05,8.509616526335e-05,0.000000000000e+00,2.4116
3,101,0.3945312500,0.1445312500,4.287791272959e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.287791272959e-05,4.287791272959e-05,0.000000000000e+00,2.1139
3,102,0.3984375000,0.1484375000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,103,0.4023437500,0.1523437500,4.221825253375e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.221825253375e-05,4.221825253375e-05,0.000000000000e+00,2.1072
3,105,0.4101562500,0.1601562500,4.287791272959e-05,0.000000000000e+00,20000,20516,0.000000000000e+00,4.287791272959e-05,4.287791272959e-05,0.000000000000e+00,2.1139
3,106,0.4140625000,0.1640625000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,108,0.4218750000,0.1718750000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,111,0.4335937500,0.1835937500,4.221825253375e-05,1.000000000000e-04,20000,20516,0.000000000000e+00,4.221825253375e-05,4.221825253375e-05,0.000000000000e+00,2.1072
3,113,0.4414062500,0.1914062500,4.287791272959e-05,5.000000000000e-05,20000,20516,0.000000000000e+00,4.287791272959e-05,4.287791272959e-05,0.000000000000e+00,2.1139
3,114,0.4453125000,0.1953125000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,116,0.4531250000,0.2031250000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
3,120,0.4687500000,0.2187500000,3.298300979200e-07,0.000000000000e+00,20000,20516,0.000000000000e+00,3.298300979200e-07,3.298300979200e-07,0.000000000000e+00,0.0000
4,0,0.0000000000,-0.2500000000,1.396922716021e-02,1.355000000000e-02,20000,21020,0.000000000000e+00,1.396922716021e-02,0.000000000000e+00,1.396922716021e-02,6.4415
4,1,0.0039062500,-0.2460937500,3.717147292052e-04,6.500000000000e-04,20000,21020,0.000000000000e+00,3.717147292052e-04,0.000000000000e+00,3.717147292052e-04,4.8665
4,2,0.0078125000,-0.2421875000,8.476001658118e-05,1.500000000000e-04,20000,21020,0.000000000000e+00,8.476001658118e-05,0.000000000000e+00,8.476001658118e-05,4.2245
4,3,0.0117187500,-0.2382812500,8.217192447183e-05,1.000000000000e-04,20000,21020,0.000000000000e+00,8.217192447183e-05,0.000000000000e+00,8.217192447183e-05,4.2110
4,4,0.0156250000,-0.2343750000,8.541209447592e-05,1.000000000000e-04,20000,21020,0.000000000000e+00,8.541209447592e-05,0.000000000000e+00,8.541209447592e-05,4.2278
4,5,0.0195312500,-0.2304687500,4.173298526325e-05,5.000000000000e-05,20000,21020,0.000000000000e+00,4.173298526325e-05,0.000000000000e+00,4.173298526325e-05,3.9168
4,6,0.0234375000,-0.2265625000,1.299100922076e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.299100922076e-06,0.000000000000e+00,1.299100922076e-06,2.4099
4,7,0.0273437500,-0.2226562500,4.174309499805e-05,0.000000000000e+00,20000,21020,0.000000000000e+00,4.174309499805e-05,0.000000000000e+00,4.174309499805e-05,3.9169
4,8,0.0312500000,-0.2187500000,8.411299355384e-05,1.000000000000e-04,20000,21020,0.000000000000e+00,8.411299355384e-05,0.000000000000e+00,8.411299355384e-05,4.2212
4,9,0.0351562500,-0.2148437500,4.173298526325e-05,5.000000000000e-05,20000,21020,0.000000000000e+00,4.173298526325e-05,0.000000000000e+00,4.173298526325e-05,3.9168
4,10,0.0390625000,-0.2109375000,1.299100922076e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.299100922076e-06,0.000000000000e+00,1.299100922076e-06,2.4099
4,11,0.0429687500,-0.2070312500,1.304155789477e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.304155789477e-06,0.000000000000e+00,1.304155789477e-06,2.4116
4,13,0.0507812500,-0.1992187500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,14,0.0546875000,-0.1953125000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,15,0.0585937500,-0.1914062500,4.108596223591e-05,0.000000000000e+00,20000,21020,0.000000000000e+00,4.108596223591e-05,0.000000000000e+00,4.108596223591e-05,3.9100
4,16,0.0625000000,-0.1875000000,8.411299355384e-05,2.000000000000e-04,20000,21020,0.000000000000e+00,8.411299355384e-05,0.000000000000e+00,8.411299355384e-05,4.2212
4,17,0.0664062500,-0.1835937500,4.173298526325e-05,5.000000000000e-05,20000,21020,0.000000000000e+00,4.173298526325e-05,0.000000000000e+00,4.173298526325e-05,3.9168
4,18,0.0703125000,-0.1796875000,1.299100922076e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.299100922076e-06,0.000000000000e+00,1.299100922076e-06,2.4099
4,19,0.0742187500,-0.1757812500,1.304155789477e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.304155789477e-06,0.000000000000e+00,1.304155789477e-06,2.4116
4,21,0.0820312500,-0.1679687500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,22,0.0859375000,-0.1640625000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,23,0.0898437500,-0.1601562500,6.470230273372e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.470230273372e-07,0.000000000000e+00,6.470230273372e-07,2.1072
4,25,0.0976562500,-0.1523437500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,26,0.1015625000,-0.1484375000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,28,0.1093750000,-0.1406250000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,31,0.1210937500,-0.1289062500,4.108596223591e-05,5.000000000000e-05,20000,21020,0.000000000000e+00,4.108596223591e-05,0.000000000000e+00,4.108596223591e-05,3.9100
4,32,0.1250000000,-0.1250000000,8.411299355384e-05,1.500000000000e-04,20000,21020,0.000000000000e+00,8.411299355384e-05,0.000000000000e+00,8.411299355384e-05,4.2212
4,33,0.1289062500,-0.1210937500,4.173298526325e-05,5.000000000000e-05,20000,21020,0.000000000000e+00,4.173298526325e-05,0.000000000000e+00,4.173298526325e-05,3.9168
4,34,0.1328125000,-0.1171875000,1.299100922076e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.299100922076e-06,0.000000000000e+00,1.299100922076e-06,2.4099
4,35,0.1367187500,-0.1132812500,1.304155789477e-06,0.000000000000e+00,20000,21020,0.000000000000e+00,1.304155789477e-06,0.000000000000e+00,1.304155789477e-06,2.4116
4,37,0.1445312500,-0.1054687500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,38,0.1484375000,-0.1015625000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,39,0.1523437500,-0.0976562500,6.470230273372e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.470230273372e-07,0.000000000000e+00,6.470230273372e-07,2.1072
4,41,0.1601562500,-0.0898437500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,42,0.1640625000,-0.0859375000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,44,0.1718750000,-0.0781250000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,47,0.1835937500,-0.0664062500,6.470230273372e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.470230273372e-07,0.000000000000e+00,6.470230273372e-07,2.1072
4,49,0.1914062500,-0.0585937500,6.571327621394e-07,0.000000000000e+00,20000,21020,0.000000000000e+00,6.571327621394e-07,0.000000000000e+00,6.571327621394e-07,2.1139
4,50,0.1953125000,-0.0546875000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,52,0.2031250000,-0.0468750000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
4,56,0.2187500000,-0.0312500000,5.054867401072e-09,0.000000000000e+00,20000,21020,0.000000000000e+00,5.054867401072e-09,0.000000000000e+00,5.054867401072e-09,0.0000
