BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
9,60,0.2343750000,-0.0156250000,3.123710498165e-02,3.330000000000e-02,20000,20114,17.2876
9,61,0.2382812500,-0.0117187500,6.990096081949e-02,7.100000000000e-02,20000,20114,17.6374
9,62,0.2421875000,-0.0078125000,1.221688335545e-01,1.242000000000e-01,20000,20114,17.8799
9,63,0.2460937500,-0.0039062500,1.694816996871e-01,1.667000000000e-01,20000,20114,18.0221
9,64,0.2500000000,0.0000000000,1.884111554049e-01,1.859500000000e-01,20000,20114,18.0681
9,65,0.2539062500,0.0039062500,1.685238859120e-01,1.669500000000e-01,20000,20114,18.0196
9,66,0.2578125000,0.0078125000,1.211442320123e-01,1.228500000000e-01,20000,20114,17.8763
9,67,0.2617187500,0.0117187500,6.952972592972e-02,6.600000000000e-02,20000,20114,17.6351
9,68,0.2656250000,0.0156250000,3.144411198985e-02,3.460000000000e-02,20000,20114,17.2905
9,69,0.2695312500,0.0195312500,1.095907823664e-02,1.095000000000e-02,20000,20114,16.8327
9,70,0.2734375000,0.0234375000,2.839185639811e-03,2.850000000000e-03,20000,20114,16.2462
9,71,0.2773437500,0.0273437500,5.144209284138e-04,6.000000000000e-04,20000,20114,15.5043
9,72,0.2812500000,0.0312500000,5.808780852180e-05,1.000000000000e-04,20000,20114,14.5570
9,73,0.2851562500,0.0351562500,3.070609362664e-06,0.000000000000e+00,20000,20114,13.2802
10,54,0.2109375000,-0.0390625000,4.967157428892e-07,0.000000000000e+00,20000,20126,14.1906
10,55,0.2148437500,-0.0351562500,1.176313191115e-05,0.000000000000e+00,20000,20126,15.5651
10,56,0.2187500000,-0.0312500000,1.281909636099e-04,2.000000000000e-04,20000,20126,16.6024
10,57,0.2226562500,-0.0273437500,8.578899758483e-04,9.000000000000e-04,20000,20126,17.4280
10,58,0.2265625000,-0.0234375000,3.968614855902e-03,3.900000000000e-03,20000,20126,18.0932
10,59,0.2304687500,-0.0195312500,1.353687705310e-02,1.370000000000e-02,20000,20126,18.6260
10,60,0.2343750000,-0.0156250000,3.544036962554e-02,3.710000000000e-02,20000,20126,19.0440
10,61,0.2382812500,-0.0117187500,7.313608429775e-02,7.305000000000e-02,20000,20126,19.3587
10,62,0.2421875000,-0.0078125000,1.211290533215e-01,1.217000000000e-01,20000,20126,19.5778
10,63,0.2460937500,-0.0039062500,1.629477088954e-01,1.602000000000e-01,20000,20126,19.7066
10,64,0.2500000000,0.0000000000,1.793435241343e-01,1.841500000000e-01,20000,20126,19.7482
10,65,0.2539062500,0.0039062500,1.620173018771e-01,1.617000000000e-01,20000,20126,19.7041
10,66,0.2578125000,0.0078125000,1.200646284702e-01,1.185000000000e-01,20000,20126,19.5739
10,67,0.2617187500,0.0117187500,7.265107052886e-02,7.075000000000e-02,20000,20126,19.3558
10,68,0.2656250000,0.0156250000,3.556368151343e-02,3.420000000000e-02,20000,20126,19.0455
10,69,0.2695312500,0.0195312500,1.386947045801e-02,1.390000000000e-02,20000,20126,18.6366
10,70,0.2734375000,0.0234375000,4.207594902991e-03,4.450000000000e-03,20000,20126,18.1186
10,71,0.2773437500,0.0273437500,9.564624314907e-04,1.300000000000e-03,20000,20126,17.4752
10,72,0.2812500000,0.0312500000,1.531190405224e-04,2.500000000000e-04,20000,20126,16.6796
10,73,0.2851562500,0.0351562500,1.537136058685e-05,5.000000000000e-05,20000,20126,15.6812
10,74,0.2890625000,0.0390625000,7.264463502127e-07,0.000000000000e+00,20000,20126,14.3557
11,53,0.2070312500,-0.0429687500,1.068631478726e-07,0.000000000000e+00,20000,20138,15.1827
11,54,0.2109375000,-0.0390625000,2.840778680946e-06,0.000000000000e+00,20000,20138,16.6073
11,55,0.2148437500,-0.0351562500,3.490170198990e-05,5.000000000000e-05,20000,20138,17.6967
11,56,0.2187500000,-0.0312500000,2.645077678623e-04,3.500000000000e-04,20000,20138,18.5763
11,57,0.2226562500,-0.0273437500,1.392262055594e-03,1.250000000000e-03,20000,20138,19.2976
11,58,0.2265625000,-0.0234375000,5.431519810988e-03,5.500000000000e-03,20000,20138,19.8888
11,59,0.2304687500,-0.0195312500,1.635862506042e-02,1.690000000000e-02,20000,20138,20.3676
11,60,0.2343750000,-0.0156250000,3.909636327355e-02,3.845000000000e-02,20000,20138,20.7460
11,61,0.2382812500,-0.0117187500,7.558379468275e-02,7.515000000000e-02,20000,20138,21.0323
11,62,0.2421875000,-0.0078125000,1.198066267195e-01,1.175500000000e-01,20000,20138,21.2323
11,63,0.2460937500,-0.0039062500,1.571406622775e-01,1.596000000000e-01,20000,20138,21.3501
