CountA,BitsFlipped,MeanOnesDelta,Log10Combinations
7,13,3.6562500000,8.5408
7,14,3.9375000000,8.6734
7,15,4.2187500000,8.7526
7,16,4.5000000000,8.7789
7,17,4.7812500000,8.7526
7,18,5.0625000000,8.6734
7,19,5.3437500000,8.5408
7,20,5.6250000000,8.3537
7,21,5.9062500000,8.1107
7,22,6.1875000000,7.8096
7,23,6.4687500000,7.4479
7,24,6.7500000000,7.0219
7,25,7.0312500000,6.5271
7,26,7.3125000000,5.9572
7,27,7.5937500000,5.3040
7,28,7.8750000000,4.5558
7,29,8.1562500000,3.6955
7,30,8.4375000000,2.6955
7,31,8.7187500000,1.5051
7,32,9.0000000000,0.0000
8,0,0.0000000000,0.0000
8,1,0.2500000000,1.5051
8,2,0.5000000000,2.6955
8,3,0.7500000000,3.6955
8,4,1.0000000000,4.5558
8,5,1.2500000000,5.3040
8,6,1.5000000000,5.9572
8,7,1.7500000000,6.5271
8,8,2.0000000000,7.0219
8,9,2.2500000000,7.4479
8,10,2.5000000000,7.8096
8,11,2.7500000000,8.1107
8,12,3.0000000000,8.3537
8,13,3.2500000000,8.5408
8,14,3.5000000000,8.6734
8,15,3.7500000000,8.7526
8,16,4.0000000000,8.7789
8,17,4.2500000000,8.7526
8,18,4.5000000000,8.6734
8,19,4.7500000000,8.5408
8,20,5.0000000000,8.3537
8,21,5.2500000000,8.1107
8,22,5.5000000000,7.8096
8,23,5.7500000000,7.4479
8,24,6.0000000000,7.0219
8,25,6.2500000000,6.5271
8,26,6.5000000000,5.9572
8,27,6.7500000000,5.3040
8,28,7.0000000000,4.5558
8,29,7.2500000000,3.6955
8,30,7.5000000000,2.6955
8,31,7.7500000000,1.5051
8,32,8.0000000000,0.0000
9,0,0.0000000000,0.0000
9,1,0.2187500000,1.5051
9,2,0.4375000000,2.6955
9,3,0.6562500000,3.6955
9,4,0.8750000000,4.5558
9,5,1.0937500000,5.3040
9,6,1.3125000000,5.9572
9,7,1.5312500000,6.5271
9,8,1.7500000000,7.0219
9,9,1.9687500000,7.4479
9,10,2.1875000000,7.8096
9,11,2.4062500000,8.1107
9,12,2.6250000000,8.3537
9,13,2.8437500000,8.5408
9,14,3.0625000000,8.6734
9,15,3.2812500000,8.7526
9,16,3.5000000000,8.7789
9,17,3.7187500000,8.7526
9,18,3.9375000000,8.6734
9,19,4.1562500000,8.5408
9,20,4.3750000000,8.3537
9,21,4.5937500000,8.1107
9,22,4.8125000000,7.8096
9,23,5.0312500000,7.4479
9,24,5.2500000000,7.0219
9,25,5.4687500000,6.5271
9,26,5.6875000000,5.9572
9,27,5.9062500000,5.3040
9,28,6.1250000000,4.5558
9,29,6.3437500000,3.6955
9,30,6.5625000000,2.6955
9,31,6.7812500000,1.5051
9,32,7.0000000000,0.0000
10,0,0.0000000000,0.0000
10,1,0.1875000000,1.5051
10,2,0.3750000000,2.6955
10,3,0.5625000000,3.6955
10,4,0.7500000000,4.5558
10,5,0.9375000000,5.3040
10,6,1.1250000000,5.9572
10,7,1.3125000000,6.5271
10,8,1.5000000000,7.0219
10,9,1.6875000000,7.4479
10,10,1.8750000000,7.8096
10,11,2.0625000000,8.1107
10,12,2.2500000000,8.3537
10,13,2.4375000000,8.5408
10,14,2.6250000000,8.6734
10,15,2.8125000000,8.7526
10,16,3.0000000000,8.7789
10,17,3.1875000000,8.7526
10,18,3.3750000000,8.6734
10,19,3.5625000000,8.5408
10,20,3.7500000000,8.3537
10,21,3.9375000000,8.1107
10,22,4.1250000000,7.8096
10,23,4.3125000000,7.4479
10,24,4.5000000000,7.0219
10,25,4.6875000000,6.5271
10,26,4.8750000000,5.9572
10,27,5.0625000000,5.3040
10,28,5.2500000000,4.5558
10,29,5.4375000000,3.6955
10,30,5.6250000000,2.6955
10,31,5.8125000000,1.5051
10,32,6.0000000000,0.0000
11,0,0.0000000000,0.0000
11,1,0.1562500000,1.5051
11,2,0.3125000000,2.6955
11,3,0.4687500000,3.6955
11,4,0.6250000000,4.5558
11,5,0.7812500000,5.3040
11,6,0.9375000000,5.9572
11,7,1.0937500000,6.5271
11,8,1.2500000000,7.0219
11,9,1.4062500000,7.4479
11,10,1.5625000000,7.8096
11,11,1.7187500000,8.1107
11,12,1.8750000000,8.3537
11,13,2.0312500000,8.5408
11,14,2.1875000000,8.6734
11,15,2.3437500000,8.7526
11,16,2.5000000000,8.7789
11,17,2.6562500000,8.7526
11,18,2.8125000000,8.6734
11,19,2.9687500000,8.5408
11,20,3.1250000000,8.3537
11,21,3.2812500000,8.1107
11,22,3.4375000000,7.8096
11,23,3.5937500000,7.4479
11,24,3.7500000000,7.0219
